step,money
0,50000
50,45943
100,37552
150,31906
200,41016
250,45476
300,38671
350,41865
400,35585
450,35114
500,34856
550,35130
600,35415
650,33479
700,30953
750,29334
800,28886
850,28430
900,27371
950,28533
1000,28090
