step,money
0,50000
50,44005
100,44176
150,39963
200,37650
250,39655
300,42395
350,45919
400,44137
450,45601
500,53528
550,57823
600,64260
650,69918
700,69553
750,69703
800,80149
850,80313
900,81495
950,86474
1000,94176
