step,match1-teamA,match1-teamB,match2-teamA,match2-teamB,
0,50000,50000,
50,45943,44005,
100,37552,44176,
150,31906,39963,
200,41016,37650,
250,45476,39655,
300,38671,42395,
350,41865,45919,
400,35585,44137,
450,35114,45601,
500,34856,53528,
550,35130,57823,
600,35415,64260,
650,33479,69918,
700,30953,69553,
750,29334,69703,
800,28886,80149,
850,28430,80313,
900,27371,81495,
950,28533,86474,
1000,28090,94176,
