step,money
0,50000
50,41821
100,38381
150,32262
200,27907
250,28614
300,25670
350,38630
400,31507
450,39480
500,38790
550,36443
600,37337
650,32793
700,31625
750,33147
800,35037
850,38865
900,36097
950,31405
1000,32929
