step,money
0,50000
50,36107
100,55498
150,50931
200,56720
250,65632
300,58325
350,76742
400,89731
450,95444
500,99083
550,106496
600,118526
650,110203
700,133001
750,127097
800,138560
850,144283
900,150061
950,159076
1000,155292
