step,money
0,50000
50,41612
100,45396
150,41379
200,48227
250,54893
300,55607
350,60438
400,64264
450,64064
500,67746
550,74121
600,77359
650,71806
700,74815
750,74035
800,73027
850,71267
900,67527
950,77398
1000,75994
