step,money
0,50000
50,42124
100,34598
150,38337
200,37167
250,39491
300,37952
350,35844
400,36011
450,35954
500,33954
550,34335
600,48018
650,53447
700,51847
750,58457
800,61237
850,59065
900,64521
950,62640
1000,58951
