step,money
0,50000
50,46072
100,42489
150,40469
200,41706
250,40561
300,40126
350,44326
400,49016
450,50500
500,49281
550,46398
600,46249
650,53957
700,54143
750,53184
800,55745
850,53765
900,56277
950,52891
1000,52646
