step,money
0,50000
50,44376
100,42477
150,41616
200,41407
250,46935
300,44727
350,53897
400,47312
450,49060
500,47506
550,51645
600,45887
650,44974
700,49414
750,59634
800,58269
850,61807
900,63976
950,64371
1000,69783
