step,money
0,50000
50,45527
100,45778
150,54018
200,65335
250,86297
300,100469
350,106328
400,116925
450,124192
500,138123
550,156734
600,170158
650,182057
700,174883
750,194515
800,217991
850,225709
900,233380
950,247022
1000,254644
