step,money
0,50000
50,35283
100,56771
150,55965
200,59472
250,65630
300,78502
350,82602
400,89916
450,92363
500,101136
550,100325
600,112910
650,127309
700,125937
750,131901
800,145611
850,143734
900,153297
950,151208
1000,166473
