step,money
0,50000
50,41198
100,39489
150,50263
200,50781
250,75398
300,80863
350,88455
400,89994
450,92249
500,103739
550,109657
600,105083
650,108570
700,126056
750,135322
800,132706
850,138213
900,135537
950,139741
1000,142372
