step,money
0,50000
50,38726
100,41627
150,50464
200,50751
250,60000
300,72751
350,86727
400,86770
450,89098
500,92120
550,100013
600,101241
650,113390
700,119514
750,111838
800,121425
850,122952
900,129939
950,127839
1000,133295
