step,money
0,50000
50,42218
100,44627
150,52156
200,60791
250,64454
300,78063
350,88710
400,97675
450,95610
500,98095
550,113761
600,108490
650,112301
700,119159
750,131028
800,139206
850,148179
900,142635
950,157067
1000,155402
